Período,1,2,3,4,5,Total
ene-13,887272,502020,245244,106342,52353,1793231
feb-13,882676,501774,245977,106743,52298,1789468
mar-13,878363,496806,242825,104948,50646,1773588
abr-13,884529,500023,244085,105013,50456,1784106
may-13,885198,499275,243797,104519,50088,1782877
jun-13,892921,502050,244487,104252,49485,1793195
jul-13,895178,501922,244075,104039,49471,1794685
ago-13,905483,508136,246880,104953,49813,1815265
sep-13,913951,512063,248254,104822,50578,1829668
oct-13,931751,522427,253708,107050,52038,1866974
nov-13,937920,524911,254582,107218,51757,1876388
dic-13,948628,529216,255614,107129,51430,1892017
ene-14,958028,531976,256506,107288,51523,1905321
feb-14,952775,524990,253348,106311,49866,1887290
mar-14,955329,522733,250556,104413,47989,1881020
abr-14,964984,522765,250766,103989,47346,1889850
may-14,957143,515229,245618,100784,44088,1862862
jun-14,955547,507488,239663,97098,41681,1841477
jul-14,948595,501667,237659,96906,41452,1826279
ago-14,968636,512660,243227,99375,43110,1867008
sep-14,993389,528862,250778,102370,45026,1920425
oct-14,1014267,543264,257103,104781,46739,1966154
nov-14,1007887,547400,259098,105517,48126,1968028
dic-14,1015526,552788,261274,106483,48781,1984852
ene-15,1020797,556477,263096,107154,49142,1996666
feb-15,1026265,561099,265318,107934,49615,2010231
mar-15,1030096,561117,264490,107273,49247,2012223
abr-15,1038923,564551,265667,107676,49314,2026131
may-15,1033879,560450,263719,106731,48865,2013644
jun-15,969415,518809,243482,97768,40426,1869900
jul-15,980800,527804,247742,99508,41564,1897418
ago-15,994046,537257,252384,100522,43823,1928032
sep-15,1015784,550845,258879,102802,45360,1973670
oct-15,1037174,560724,263131,104441,46434,2011904
nov-15,1049933,568596,266809,105969,47499,2038806
dic-15,1060894,575464,269202,106651,47620,2059831
ene-16,1067176,582143,272535,108016,48525,2078395
feb-16,1070331,586261,274682,109067,49093,2089434
mar-16,1077312,589663,275715,109138,49252,2101080
abr-16,1089309,595047,277746,109694,49414,2121210
may-16,1096790,600305,280117,110579,49870,2137661
jun-16,1110130,606518,282320,111439,50281,2160688
jul-16,1119970,615999,286959,113247,51263,2187438
ago-16,1112474,615346,287362,113267,51400,2179849
sep-16,1115316,617627,288041,113446,51641,2186071
oct-16,1123115,618367,287751,113373,51991,2194597
nov-16,1126988,620856,288711,113674,52545,2202774
dic-16,1129138,621865,289074,113692,52591,2206360
ene-17,1132085,623059,289822,113902,52867,2211735
feb-17,1133453,626004,291360,114203,52878,2217898
mar-17,1077577,587968,273144,107124,46268,2092081
abr-17,1086414,590223,273744,106002,47421,2103804
may-17,1102414,599246,277265,107083,48235,2134243
jun-17,1116465,607556,280068,107939,48658,2160686
jul-17,1125850,614508,283060,109210,49223,2181851
ago-17,1129641,617901,285076,109609,49596,2191823
sep-17,1130390,620447,286878,110177,50077,2197969
oct-17,1132041,623145,288515,111072,50744,2205517
nov-17,1132918,625077,289548,111748,51111,2210402
dic-17,1132593,625479,289765,111780,51213,2210830
ene-18,1135151,627399,290547,111965,51500,2216562
feb-18,1138205,631518,292289,112638,51978,2226628
mar-18,1100156,603640,278396,106529,47420,2136141
abr-18,1114888,610133,280484,107077,47689,2160271
may-18,1126029,615502,281951,107262,48013,2178757
jun-18,1136997,622989,285377,108247,48838,2202448
jul-18,1149672,630484,289006,109554,49559,2228275
ago-18,1161754,639131,292662,110907,50311,2254765
sep-18,1129105,618589,285770,109149,50064,2192677
oct-18,1135314,623650,288669,110078,50833,2208544
nov-18,1145603,630051,291402,110850,51612,2229518
dic-18,1146004,631945,292695,111364,52179,2234187
ene-19,1154152,636740,294644,112036,52869,2250441
feb-19,1161482,642085,297106,112898,53360,2266931
mar-19,1133389,621758,286046,107797,49180,2198170
abr-19,1140466,623705,286659,107690,49203,2207723
may-19,1154549,630875,289716,108792,49648,2233580
jun-19,1143865,621167,285979,107775,49537,2208323
