"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ABDALA DE MATARAZZO, Norma Amanda","Frente de Todos","Santiago del Estero","NEGATIVO"
"AGUIRRE, Hilda Clelia","Frente de Todos","La Rioja","AFIRMATIVO"
"AICEGA, Juan","PRO","Buenos Aires","NEGATIVO"
"ALDERETE, Juan Carlos","Frente de Todos","Buenos Aires","AFIRMATIVO"
"ALLENDE, Walberto Enrique","Frente de Todos","San Juan","NEGATIVO"
"ALUME SBODIO, Karim Augusto","Frente de Todos","San Luis","NEGATIVO"
"ÁLVAREZ RODRIGUEZ, María Cristina","Frente de Todos","Buenos Aires","AFIRMATIVO"
"ÁLVAREZ, Felipe","Acción Federal","La Rioja","NEGATIVO"
"AMAYA, Domingo","PRO","Tucumán","NEGATIVO"
"ANGELINI, Federico","PRO","Santa Fe","NEGATIVO"
"ANSALONI, Pablo Miguel","Unidad y Equidad Federal","Buenos Aires","NEGATIVO"
"APARICIO, Alicia Noemi","Frente de Todos","Buenos Aires","AFIRMATIVO"
"ARCE, Mario Horacio","Unión Cívica Radical","Formosa","NEGATIVO"
"ASCARATE, Lidia","Unión Cívica Radical","Tucumán","NEGATIVO"
"ASSEFF, Alberto Emilio","PRO","Buenos Aires","NEGATIVO"
"AUSTIN, Brenda Lis","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"ÁVILA, Beatriz Luisa","Partido por la Justicia Social","Tucumán","NEGATIVO"
"AYALA, Aida Beatriz Máxima","Unión Cívica Radical","Chaco","NEGATIVO"
"BALDASSI, Héctor Walter","PRO","Córdoba","NEGATIVO"
"BANFI, Karina Verónica","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BÁRBARO, Hector Orlando","Frente de Todos","Misiones","ABSTENCION"
"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BENEDETTI, Atilio Francisco Salvador","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"BERHONGARAY, Martin Antonio","Unión Cívica Radical","La Pampa","NEGATIVO"
"BERISSO, Hernán","PRO","Buenos Aires","NEGATIVO"
"BERMEJO, Alejandro Daniel","Frente de Todos","Mendoza","AFIRMATIVO"
"BERNAZZA, Claudia Alicia","Frente de Todos","Buenos Aires","AFIRMATIVO"
"BERTONE, Rosana Andrea","Frente de Todos","Tierra del Fuego","NEGATIVO"
"BOGDANICH, Esteban Mateo","Frente de Todos","Santa Fe","AFIRMATIVO"
"BORMIOLI, Lisandro","Frente de Todos","Buenos Aires","AFIRMATIVO"
"BRAMBILLA, Sofía","PRO","Corrientes","NEGATIVO"
"BRAWER, Mara","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"BRITEZ, María Cristina","Frente de Todos","Misiones","AFIRMATIVO"
"BRIZUELA DEL MORAL, Eduardo Segundo","Frente Cívico y Social de Catamarca","Catamarca","NEGATIVO"
"BRUE, Daniel Agustín","Frente de Todos","Santiago del Estero","NEGATIVO"
"BUCCA, Eduardo","Justicialista","Buenos Aires","AFIRMATIVO"
"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","NEGATIVO"
"BURYAILE, Ricardo","Unión Cívica Radical","Formosa","NEGATIVO"
"CACACE, Alejandro","Unión Cívica Radical","San Luis","AFIRMATIVO"
"CÁCERES, Adriana Cintia","PRO","Buenos Aires","AFIRMATIVO"
"CÁCERES, Eduardo Augusto","PRO","San Juan","AUSENTE"
"CALIVA, Lia Veronica","Frente de Todos","Salta","AFIRMATIVO"
"CAMAÑO, Graciela","Consenso Federal","Buenos Aires","NEGATIVO"
"CAMPAGNOLI, Marcela","Coalición Cívica","Buenos Aires","NEGATIVO"
"CAMPOS, Javier","Coalición Cívica","Buenos Aires","NEGATIVO"
"CANO, José Manuel","Unión Cívica Radical","Tucumán","NEGATIVO"
"CANTARD, Albor Angel","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"CAPARRÓS, Mabel Luisa","Frente de Todos","Tierra del Fuego","AFIRMATIVO"
"CARAMBIA, Antonio José","Acción Federal","Santa Cruz","NEGATIVO"
"CARNAGHI, Oscar","Frente de Todos","Neuquén","AFIRMATIVO"
"CARRIZO, Ana Carla","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"CARRIZO, Nilda Mabel","Frente de Todos","Tucumán","AFIRMATIVO"
"CARRIZO, Soledad","Unión Cívica Radical","Córdoba","NEGATIVO"
"CARRO, Pablo","Frente de Todos","Córdoba","AFIRMATIVO"
"CASARETTO, Marcelo Pablo","Frente de Todos","Entre Ríos","AFIRMATIVO"
"CASAS, Sergio Guillermo","Frente de Todos","La Rioja","NEGATIVO"
"CASELLES, Graciela María","Frente de Todos","San Juan","NEGATIVO"
"CASSINERIO, Paulo Leonardo","Córdoba Federal","Córdoba","NEGATIVO"
"CASTETS, Laura Carolina","Coalición Cívica","Santa Fe","NEGATIVO"
"CERRUTI, Gabriela","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"CIPOLINI, Gerardo","Unión Cívica Radical","Chaco","NEGATIVO"
"CISNEROS, Carlos Anibal","Frente de Todos","Tucumán","AFIRMATIVO"
"CLERI, Marcos","Frente de Todos","Santa Fe","AFIRMATIVO"
"CONTIGIANI, Luis Gustavo","Frente Progresista Cívico y Social","Santa Fe","NEGATIVO"
"CORNEJO, Alfredo Victor","Unión Cívica Radical","Mendoza","ABSTENCION"
"CORNEJO, Virginia Maria","PRO","Salta","NEGATIVO"
"CORPACCI, Lucia","Frente de Todos","Catamarca","AFIRMATIVO"
"CORREA, Walter","Frente de Todos","Buenos Aires","AFIRMATIVO"
"CRESCIMBENI, Camila","PRO","Buenos Aires","AFIRMATIVO"
"CRESTO, Mayda","Frente de Todos","Entre Ríos","NEGATIVO"
"DAIVES, Ricardo Daniel","Frente de Todos","Santiago del Estero","AFIRMATIVO"
"DALDOVO, Nelly Ramona","Frente de Todos","Formosa","NEGATIVO"
"DE LAMADRID, Alvaro Héctor","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"DE MARCHI, Omar Bruno","PRO","Mendoza","NEGATIVO"
"DE MENDIGUREN, José Ignacio","Frente de Todos","Buenos Aires","AUSENTE"
"DEL CAÑO, Nicolás","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"Del CERRO, Gonzalo Pedro Antonio","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"DELÚ, Melina Aida","Frente de Todos","La Pampa","AFIRMATIVO"
"DI GIACOMO, Luis","Juntos Somos Río Negro","Rio Negro","AFIRMATIVO"
"EL SUKARIA, Soher","PRO","Córdoba","NEGATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","NEGATIVO"
"ESTEVEZ, Enrique Eloy","Socialista","Santa Fe","AFIRMATIVO"
"ESTEVEZ, Gabriela Beatriz","Frente de Todos","Córdoba","AFIRMATIVO"
"FAGIOLI, Federico","Frente de Todos","Buenos Aires","AFIRMATIVO"
"FELIX, Omar","Frente de Todos","Mendoza","NEGATIVO"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","NEGATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente de Todos","Formosa","NEGATIVO"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"FERNANDEZ, Eduardo Gabriel","Frente de Todos","Córdoba","AFIRMATIVO"
"FERNANDEZ, Hector","Frente de Todos","Buenos Aires","NEGATIVO"
"FERRARO, Maximiliano Carlos Francisco","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"FERREYRA, Daniel Julio","Frente de Todos","Jujuy","ABSTENCION"
"FIGUEROA, Alcira Elsa","Frente de Todos","Salta","AFIRMATIVO"
"FLORES, Danilo Adrián","Frente de Todos","La Rioja","NEGATIVO"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","NEGATIVO"
"FRADE, Monica","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"FREGONESE, Alicia","PRO","Entre Ríos","NEGATIVO"
"FRIGERIO, Federico","PRO","Tierra del Fuego","AFIRMATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","NEGATIVO"
"GAILLARD, Ana Carolina","Frente de Todos","Entre Ríos","AFIRMATIVO"
"GARCIA DE LUCA, Sebastian","PRO","Buenos Aires","AFIRMATIVO"
"GARCIA, Alejandro","PRO","C.A.B.A.","AFIRMATIVO"
"GARCIA, Ximena","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
